Sample,t_mean_Aluminum,t_mean_Boron,t_mean_Calcium,t_mean_Carbon,t_mean_Cellulose,t_mean_Copper,t_mean_d13C,t_mean_d15N,t_mean_Fiber,t_mean_Flavonoids,t_mean_Iron,t_mean_Lignin,t_mean_Magnesium,t_mean_Manganese,t_mean_Nitrogen,t_mean_NSC,t_mean_Phenolics,t_mean_Phosphorus,t_mean_Potassium,t_mean_Starch,t_mean_Sugar,t_mean_Sulfur,t_mean_Zinc,t_std_Aluminum,t_std_Boron,t_std_Calcium,t_std_Carbon,t_std_Cellulose,t_std_Copper,t_std_d13C,t_std_d15N,t_std_Fiber,t_std_Flavonoids,t_std_Iron,t_std_Lignin,t_std_Magnesium,t_std_Manganese,t_std_Nitrogen,t_std_NSC,t_std_Phenolics,t_std_Phosphorus,t_std_Potassium,t_std_Starch,t_std_Sugar,t_std_Sulfur,t_std_Zinc,lat,long,species,plant_type,plot_type,,,
ABV_BERM_0002_CA1,46.89155071,13.84713823,0.233424847,56.03114587,17.5534308,3.987104891,-27.03452955,-3.577580065,47.6520254,5.437718738,30.08849183,22.77270548,0.073172885,151.2832805,1.903360296,35.311083,7.288370779,0.074956781,-0.346476951,4.710565928,26.40164217,0.0553627,19.25382477,19.05258867,4.471103418,0.16041466,0.376415776,1.559095882,0.543261381,1.602682654,0.390367246,2.860327071,2.507067484,2.179135202,2.001536163,0.026464287,32.42472545,0.072773427,1.605878655,0.733033515,0.02080455,0.156610371,0.494965491,1.669387567,0.015624262,3.286118118,53.998056,-105.113125,Larix laricinia,tree,single species tree/shrub,,,
ABV_BERM_0003_CA1,80.99490105,20.808859,0.407722411,53.88387345,21.1240362,3.836471064,-26.18881338,-2.788360448,45.08903585,9.095449572,42.68704101,22.76302171,0.073349209,165.2141745,0.872967467,31.39601542,7.120816731,0.040667445,-0.061496866,4.512301004,27.60498519,0.025477191,29.89972424,11.83514704,2.411620635,0.133282894,0.311808726,1.448809863,0.387788927,1.076140309,0.231605929,2.30381818,1.75520036,1.0703551,1.529534221,0.023661183,20.16041415,0.045837384,1.10937818,0.567060215,0.013185755,0.130294412,0.427950955,1.601256135,0.012162987,2.512334745,53.999758,-105.113204,Picea mariana,tree,single species tree/shrub,,,
ABV_BERM_0004_CA1,72.09304904,20.64201783,0.310678363,53.67746061,22.26298586,4.56593773,-27.37772197,-2.435030865,52.98420406,4.398416028,48.0960556,27.88650676,0.086497061,132.4217766,1.552126609,22.58157402,6.110886078,0.142406903,0.592787279,4.314404556,17.11533353,0.080188817,23.40345715,12.57264257,1.787612953,0.090832486,0.184765532,1.108656275,0.286389105,0.84164961,0.214425515,1.929649737,1.573711036,1.075924302,1.226746287,0.017567329,15.39113197,0.030518348,0.867283709,0.410116849,0.010408014,0.099977436,0.38453116,1.253856938,0.009381646,1.798033061,53.944803,-104.648944,Picea mariana,tree,single species tree/shrub,,,
ABV_BERM_0005_CA1,73.62218068,17.61442979,0.385857804,53.95047882,21.44502058,4.479853072,-27.30311883,-2.050404243,51.21143517,5.336126844,45.8307327,26.88340007,0.089346871,142.0956882,1.474733838,23.74636085,6.10777591,0.136774649,0.578835607,4.224872898,17.76360576,0.081955663,25.03048439,13.97523396,1.54472355,0.075050745,0.189264013,1.248571304,0.24823504,0.701277279,0.194906946,2.28209356,1.32096205,1.079640158,1.34851212,0.01422119,13.34767332,0.032243687,0.842531239,0.347709505,0.008709192,0.093359764,0.296952606,0.977222781,0.00737529,1.822431984,53.908432,-104.655688,Pinus banksia,tree,single species tree/shrub,,,
ABV_BERM_0006_GR1,39.85552653,24.36239317,0.273176737,52.60912705,16.7066937,4.579799214,-20.91173197,-3.223007407,32.84405222,8.997729781,39.79767838,8.36796001,0.223371551,111.2359834,1.500355269,30.14530384,7.880162126,0.074681739,0.361712038,3.769993417,27.62805776,0.089074016,13.35004026,10.21429724,3.333969919,0.16970703,0.519452782,1.890071152,0.417076235,1.558874177,0.344976994,2.833205727,2.091302594,1.682226271,2.365669951,0.040270288,25.00778966,0.083716817,1.582747052,0.650788304,0.021752928,0.193869275,0.527103743,1.709382566,0.016107954,2.196797748,53.913911,-104.638575,grass,graminoid,mixed species tree/shrub,,,
ABV_BERM_0006_SH1,59.90657092,43.82793075,0.589114389,55.94848442,17.44879959,5.684714152,-26.46388901,-3.605407485,37.04812515,10.2469623,41.78335368,22.4104577,0.157603431,240.1470196,2.18028048,42.53816187,6.729865298,0.010113405,-0.382302754,5.199086467,34.41873027,-0.011919376,25.68623508,30.44934605,4.15899203,0.201147184,0.546777539,1.922676071,0.505217462,1.794059609,0.441680536,2.529379998,2.726432977,2.634082815,2.473191096,0.050073196,39.26350462,0.071738863,1.83655231,0.740763161,0.027408553,0.220954265,0.607657846,2.366180571,0.01946447,4.455240816,53.913911,-104.638575,Populus tremuloides,shrub,mixed species tree/shrub,,,
ABV_BERM_0006_SH2,14.50104627,45.60367399,0.635270264,53.28289635,13.70445059,5.934606399,-25.45053803,-3.321460322,30.53377667,6.388252236,41.04403479,12.55651786,0.227181722,155.6154264,2.477500255,28.6785119,5.738888716,0.131720045,0.298283578,4.746829041,24.16163625,0.101995352,13.48881738,23.8907071,4.455508366,0.127804045,0.335153081,0.964797434,0.484558036,1.756564817,0.295122141,1.905427137,2.265674027,2.808051754,1.432120574,0.035976427,32.17288293,0.054193274,1.250304571,0.82362918,0.023430397,0.151784412,0.860592666,1.737346431,0.01758032,3.232726951,53.913911,-104.638575,Alder,shrub,mixed species tree/shrub,,,
ABV_BERM_0007_SH1,48.47745906,34.39767405,0.774397108,54.7456106,12.73627417,5.870564393,-25.36966676,-2.142716458,32.23770948,8.386571881,43.89243295,17.24141964,0.229856873,239.8892388,2.524292559,33.86776282,7.733093393,0.15287327,0.335610144,4.482174104,27.21117002,0.129466836,17.03236925,13.34407552,3.515709406,0.109145357,0.328211352,1.26205781,0.378063238,1.121969512,0.26602471,2.878618773,1.577526388,2.190795508,1.535826765,0.029529783,28.51844936,0.057947712,1.043403156,0.480431241,0.016364079,0.134107186,0.443299367,1.308711874,0.014365293,2.406041575,53.915044,-104.639655,Alder,shrub,single species tree/shrub,,,
ABV_BERM_0009_CA1,12.22975896,43.37952491,1.285463671,52.64351989,14.43215467,4.692691127,-25.15712307,-2.222470483,31.3272408,-0.11725198,43.87482089,19.13871761,0.252997379,78.37998343,2.317543106,32.55447073,4.61698135,0.128303415,0.260390821,5.813526504,22.83827723,0.059919876,25.00310669,18.69541004,3.450974081,0.151560792,0.283813954,1.222784634,0.434656083,1.295920709,0.292662124,1.638671393,2.071949862,2.186932328,1.806614645,0.02528616,28.49539186,0.054564616,1.225560848,0.618101454,0.015057632,0.124843895,0.760272988,1.993124427,0.011431194,4.020189449,53.876176,-104.632391,N/A,N/A,single species tree/shrub,,,
ABV_BERM_0010_CA1,61.81255305,13.17547264,0.182017865,54.9566501,20.9310428,3.422772674,-25.00995109,-2.00555542,44.91680044,7.377141601,38.31495871,20.23142448,0.081549089,133.3029831,1.216496885,31.51591274,5.987442796,0.072601295,-0.139317592,4.417467509,27.51479916,0.072467936,29.84460384,21.34047934,2.698938091,0.134619937,0.334392437,1.702460966,0.422867385,1.087522573,0.323965731,2.777098957,1.367927069,1.526909663,1.988088147,0.020028078,21.91099141,0.050076856,1.053832729,0.502801372,0.013885879,0.132966599,0.371536435,1.381202225,0.009937599,2.952704762,53.802571,-104.609223,N/A,N/A,single species tree/shrub,,,
