Sample,t_mean_Carbon,t_mean_d15N,t_mean_Nitrogen,t_mean_Phosphorus,t_std_d15N,t_std_Nitrogen,,,,,,,,,,,,,,,,
ABV_COLD_0008_GR1,48.86675741,-2.988915817,2.158515777,0.198716797,0.350651625,0.050486911,,,,,,,,,,,,,,,,
ABV_COLD_0008_GR2,51.79399949,-2.640083065,2.331214095,0.168021199,0.330907885,0.057112001,,,,,,,,,,,,,,,,
ABV_COLD_0008_GR3,44.04000431,-2.746570911,2.778055618,0.222329414,0.525735663,0.07656819,,,,,,,,,,,,,,,,
ABV_COLD_0009_CA1,51.87898142,-1.585230166,3.28356617,0.2083049,0.287189669,0.048800317,,,,,,,,,,,,,,,,
ABV_COLD_0010_CA1,53.0857051,-2.416136826,2.844421759,0.152321003,0.385889579,0.061843624,,,,,,,,,,,,,,,,
ABV_COLD_0011_GR1,49.73224219,-2.601951914,2.249775778,0.215001427,0.394042721,0.050908447,,,,,,,,,,,,,,,,
ABV_COLD_0012_GR1,48.84331962,-3.319486659,2.157309868,0.183921086,0.374219436,0.053112656,,,,,,,,,,,,,,,,
ABV_COLD_0012_GR3_Moss,41.23963865,-5.54503077,-0.145573105,-0.038086415,0.961324325,0.160749186,,,,,,,,,,,,,,,,
ABV_COLD_0013_GR1,49.35191251,-2.104302243,2.807383446,0.178429079,0.264488406,0.038522637,,,,,,,,,,,,,,,,
ABV_COLD_0013_GR1_Moss,40.75383652,-6.214992498,0.212125447,0.020587646,0.74896056,0.126098858,,,,,,,,,,,,,,,,
ABV_COLD_0014_GR1,50.60489229,-2.417188434,2.678597379,0.182072376,0.232691202,0.045355487,,,,,,,,,,,,,,,,
ABV_DAWS_0000_CA1,51.22729269,-3.471963193,2.637943259,0.148211538,0.259610752,0.041787176,,,,,,,,,,,,,,,,
ABV_DAWS_0001_CA1,53.55124609,-3.42951641,0.711048614,0.002496099,0.329971624,0.049391461,,,,,,,,,,,,,,,,
ABV_DAWS_0002_GR1,48.33961565,-3.042940608,2.624874852,0.174564238,0.245556047,0.040876571,,,,,,,,,,,,,,,,
ABV_DAWS_0002_Moss,42.61358609,-5.155927232,0.91551877,0.104613821,0.706894732,0.103409272,,,,,,,,,,,,,,,,
ABV_DAWS_0003_GR1,50.36892232,-3.001251291,2.732086743,0.125426261,0.23950546,0.050000446,,,,,,,,,,,,,,,,
ABV_DAWS_0004_CA1,50.32714559,-2.287457288,2.943556936,0.206716358,0.32528454,0.041499679,,,,,,,,,,,,,,,,
ABV_DAWS_0004_CA2,50.82949625,-2.594699057,3.613022462,0.172187517,0.385768689,0.068139974,,,,,,,,,,,,,,,,
ABV_DAWS_0005_CA1,52.07255402,-2.488677684,3.017411828,0.185888322,0.244113905,0.039613257,,,,,,,,,,,,,,,,
ABV_DAWS_0005_CA2,50.87117339,-2.690501813,3.33478935,0.15234497,0.364824043,0.070091265,,,,,,,,,,,,,,,,
ABV_DAWS_0006_CA1,50.48383869,-3.659391045,2.78013579,0.152969009,0.239893132,0.043104832,,,,,,,,,,,,,,,,
ABV_DAWS_0007_CA1,48.56395128,-1.360647158,3.759996147,0.265290532,0.305189315,0.04102809,,,,,,,,,,,,,,,,
ABV_DAWS_0008_GR1,50.83028615,-3.709671527,2.220459057,0.130888752,0.212121177,0.044911584,,,,,,,,,,,,,,,,
ABV_DAWS_0009_GR1,49.22878069,-3.746357113,1.906553344,0.101006581,0.216972644,0.044270093,,,,,,,,,,,,,,,,
ABV_DAWS_0010_GR1,48.3206354,-3.222306892,2.670098378,0.156469658,0.202988868,0.035668329,,,,,,,,,,,,,,,,
ABV_DAWS_0011_CA1,52.57837446,-3.311927114,2.33489249,0.13619444,0.309064152,0.048468422,,,,,,,,,,,,,,,,
ABV_DAWS_0011_CA2,52.08437271,-4.12162484,0.826421793,0.027062765,0.288422632,0.05548504,,,,,,,,,,,,,,,,
ABV_DAWS_0011_GR1,51.17395775,-4.602902583,1.682063994,0.099461418,0.228080695,0.048362337,,,,,,,,,,,,,,,,
ABV_DAWS_0012_CA1,50.63902447,-3.629944458,0.99698137,0.091135091,0.31881104,0.051295203,,,,,,,,,,,,,,,,
ABV_DAWS_0013_CA1,49.83196184,-2.459021174,3.372799864,0.207109109,0.272700841,0.048519749,,,,,,,,,,,,,,,,
ABV_DAWS_0014_CA1,49.01898744,-2.61679474,2.915421516,0.230782617,0.332116283,0.039560585,,,,,,,,,,,,,,,,
ABV_DAWS_0015_GR1,44.78607567,-2.662878476,2.210019406,0.166280037,0.442804142,0.049725485,,,,,,,,,,,,,,,,
ABV_DAWS_0015_GR2,43.59870226,-2.868534209,1.845708544,0.175284595,0.473417639,0.061365147,,,,,,,,,,,,,,,,
ABV_DAWS_0016_GR1,50.34629893,-2.729360546,2.555158748,0.177901875,0.304487326,0.046745646,,,,,,,,,,,,,,,,
